srcid,dstid,srcname,dstname
230638788,1912717152,dhanmology,AT_AbdillahToha
1591046876953878529,1912717152,Mayapada1108,AT_AbdillahToha
553451866,2156465923,ZainAris,yusuf_dumdum
1574022665836568576,80323736,RKIJ_KabBogor,ridwankamil
1574022665836568576,80323736,RKIJ_KabBogor,ridwankamil
1545620609312628736,1878861787,ACTmoduz,DewiOzza
408370432,20963426,laziodanny,korantempo
452992293,1168746690,RamliRizal,Sahabat_Bangsa
553451866,45602536,ZainAris,GunRomli
1523740039716679682,1912717152,MariahQibtiah13,AT_AbdillahToha
1106462077206454272,1912717152,henymenik1,AT_AbdillahToha
593466020,1912717152,M_Arkeke,AT_AbdillahToha
720294070342397952,1912717152,Paulispoal,AT_AbdillahToha
1298971728731807745,1878861787,Za_At_Fa,DewiOzza
839860321313415172,2905567770,Thalomoan1,UalwaysBeMySide
1459412677260836867,1447610310529982467,beaubitta,TeddGus
1459412677260836867,1447610310529982467,beaubitta,TeddGus
315040374,2421148961,wiwikherma,__XpaiX__
1559966861319553025,224431376,jaemudyin,Steven__Pegel
1057137500932648960,1912717152,EgiPratamaliko,AT_AbdillahToha
1530489102180958208,1912717152,EdiKeceput2,AT_AbdillahToha
1148449420251299840,1878861787,BullshitPa212,DewiOzza
4025612832,17128975,FalsSuara,CNNIndonesia
4025612832,79139422,FalsSuara,fadlizon
1595010350298329089,1912717152,IndiehomeAjg,AT_AbdillahToha
918675172353220608,1443801854756880385,baim_loebis,kba_news
1383813250316308483,1912717152,LuthfiRashya,AT_AbdillahToha
1577454675942834178,1912717152,Abang_Mistery,AT_AbdillahToha
927890804625903616,1878861787,Atikah2010,DewiOzza
1518998870042505217,40580714,KQorima,prabowo
1518998870042505217,40580714,KQorima,prabowo
1364188980112072706,1878861787,Progresifz,DewiOzza
4092476654,1912717152,Achmad_djailany,AT_AbdillahToha
1507757353521025031,1234748339381387266,yudi_ssc,Ruhi_Ruhi17
1507757353521025031,366987179,yudi_ssc,jokowi
1518998870042505217,40580714,KQorima,prabowo
470472913,490902040,joehar_s,sahabatodie
470472913,1197510240205336577,joehar_s,Gardabangsaa
470472913,1748068861,joehar_s,JamaahNu
470472913,404695797,joehar_s,pekabemuda
1518998870042505217,40580714,KQorima,prabowo
1518998870042505217,40580714,KQorima,prabowo
1507757353521025031,1447610310529982467,yudi_ssc,TeddGus
3188958402,1912717152,sammy_frangky,AT_AbdillahToha
1518998870042505217,40580714,KQorima,prabowo
1518998870042505217,40580714,KQorima,prabowo
1518998870042505217,40580714,KQorima,prabowo
1518998870042505217,40580714,KQorima,prabowo
1518998870042505217,40580714,KQorima,prabowo
1518998870042505217,40580714,KQorima,prabowo
1574022665836568576,2314935228,RKIJ_KabBogor,AldiNeno
1574022665836568576,80323736,RKIJ_KabBogor,ridwankamil
614949804,1447610310529982467,ridwansenda,TeddGus
1228491849351884802,1912717152,GeniHaq,AT_AbdillahToha
1578865078136233985,1912717152,DCeduk,AT_AbdillahToha
877431439452585984,1912717152,JohnKebos45,AT_AbdillahToha
592670569,1878861787,hurryKoRn,DewiOzza
1385214255788556289,2905567770,YouAnd_I_1,UalwaysBeMySide
2446819717,1185767973111263233,AdjieWae5,Relawananies
806040348359131136,1912717152,ttkwin021,AT_AbdillahToha
1077235211983675392,20963426,MAELMAENG,korantempo
997083582,1912717152,hasanbsz36,AT_AbdillahToha
252868687,114697372,mypesta,musniumar
1431440901205725185,1334853481019056128,artney_therik,Mdy_Asmara1701
1593916348215701505,2314935228,SFantey,AldiNeno
1593916348215701505,80323736,SFantey,ridwankamil
706445565282811904,1912717152,em_sofyan67,AT_AbdillahToha
17037933,1912717152,hsidhi,AT_AbdillahToha
1574031400420118529,80323736,RKIJ_KabBekasi,ridwankamil
1574031400420118529,80323736,RKIJ_KabBekasi,ridwankamil
1066166711135715329,1492745530795229190,deannova26,ChalsofRivia
1066166711135715329,1202132239271620610,deannova26,nenni_achir1
1066166711135715329,475590067,deannova26,jalanlurus05
1066166711135715329,1270980383761330176,deannova26,Tan_Mar3M
1064354880842752000,17128975,rivaldi04812418,CNNIndonesia
79943616,1912717152,Julian303,AT_AbdillahToha
1574779567373328385,1330423648470016006,AntoSuoejagad,KRufiadi
1574779567373328385,719725925215170561,AntoSuoejagad,marlina_idha
1591458747016101888,1912717152,prasilviaty,AT_AbdillahToha
132045751,224431376,zuxylau,Steven__Pegel
2226538752,1912717152,orbadillah,AT_AbdillahToha
1160092356877512711,1878861787,kasrulsani9,DewiOzza
926017158059982849,1293407119580884992,ahmad_amien756,SheTiaa2
926017158059982849,1456283686312103939,ahmad_amien756,Yurissa_Samosir
1438360406,17128975,aimanzulfa,CNNIndonesia
823696356,1912717152,edhy_18,AT_AbdillahToha
1478190519213694976,1878861787,SalimCipok,DewiOzza
222696742,1912717152,SIR_Pribadi,AT_AbdillahToha
1418626160439685122,1912717152,Jalitea7,AT_AbdillahToha
1442677597,1912717152,rizqonmuhammad1,AT_AbdillahToha
108009561,1912717152,rusydi76,AT_AbdillahToha
1123241055703318531,1912717152,FirlyLinggar,AT_AbdillahToha
1590018116662480896,41730943,AliSadi27524975,VIVAcoid
1181071158386409473,930129630358421504,karyawantree,Eneos2017
1181071158386409473,86898109,karyawantree,niluhdjelantik
51666582,1912717152,virgin_hunt3r,AT_AbdillahToha
1849943317,1912717152,Iswahyudiokey,AT_AbdillahToha
1366737990957981696,1912717152,Di4ntara,AT_AbdillahToha
1544216230617161728,40580714,amandaysyfa_,prabowo
1262495591034060805,1912717152,NarasiPolitik,AT_AbdillahToha
1399402181254545411,930129630358421504,Louis_chantika,Eneos2017
1399402181254545411,86898109,Louis_chantika,niluhdjelantik
1574029756051652608,80323736,RKIJ_KotaBekasi,ridwankamil
1574029756051652608,80323736,RKIJ_KotaBekasi,ridwankamil
962339993581625345,1912717152,Maulana72710666,AT_AbdillahToha
1389285008372686849,1912717152,CakRony1130,AT_AbdillahToha
885097978179878912,40580714,zetoum,prabowo
1361953101796634629,902837643024539651,Safitridede1,medcom_id
1361953101796634629,110312278,Safitridede1,aniesbaswedan
921320294006083585,1912717152,Lizalarilari,AT_AbdillahToha
1482031538401595395,20963426,MarolopSitumor8,korantempo
45515856,1912717152,avpile,AT_AbdillahToha
597224838,1912717152,ramafadhills,AT_AbdillahToha
92721218,20963426,ErvinAl,korantempo
1048041945694498817,2905814730,riva_pribadi,abu_waras
1120207620315344896,1912717152,AriSusetyo3,AT_AbdillahToha
1502120364293656580,40580714,NomiaOvidia,prabowo
940769371097460736,1912717152,jackiechru,AT_AbdillahToha
902837643024539651,110312278,medcom_id,aniesbaswedan
1502120364293656580,40580714,NomiaOvidia,prabowo
1502120364293656580,40580714,NomiaOvidia,prabowo
1502120364293656580,40580714,NomiaOvidia,prabowo
1502120364293656580,40580714,NomiaOvidia,prabowo
1502120364293656580,40580714,NomiaOvidia,prabowo
1502120364293656580,40580714,NomiaOvidia,prabowo
1502120364293656580,40580714,NomiaOvidia,prabowo
1502120364293656580,40580714,NomiaOvidia,prabowo
1502120364293656580,40580714,NomiaOvidia,prabowo
1502120364293656580,40580714,NomiaOvidia,prabowo
440808322,1912717152,deworaywhite,AT_AbdillahToha
1004481606302646272,69183155,WiyonoHw,detikcom
1474260324383477760,1912717152,BaasithIbnu,AT_AbdillahToha
93831031,1912717152,syarifniskala,AT_AbdillahToha
1487755895325196292,224431376,BastosUsamah,Steven__Pegel
1100343674607525888,736384867181547520,CookieBundi,Mentimoen
1249352392954368001,1174287141909590017,denni_sauya,seruanhl
